['500188', 'crmcontactform.com', '-2']
['502998', 'lingxiuhong.com', '-2']
['503025', 'repian.com', '-2']
['503056', 'canhtranhquocgia.vn', '-2']
['503086', 'nbc13.com', '-2']
['503108', 'roland-support.com', '-2']
['503109', 'cqiv.net.cn', '-2']
['503153', 'beat100.com', '-2']
['503158', 'ikea-canada.ca', '-2']
['503195', 'bleachcn.net', '-2']
['503220', 'persianhub.org', '-2']
['503281', 'laptopskins.org.uk', '-2']
['503322', 'municipalheights.in', '-2']
['503394', 'cialisttxx.com', '-2']
['503472', 'midea-ln.com', '-2']
['503631', 'digilifecoaching.com', '-2']
['503645', 'eevl.ac.uk', '-2']
['503665', 'twitition.com', '-2']
['503768', 'spagettibookclub.org', '-2']
['503953', 'favicon.co.uk', '-2']
['504108', 'cqcdrq.com', '-2']
['504143', 'cisexpo.org.cn', '-2']
['504304', 'charlottegainsbourg.com', '-2']
['504506', 'hybridpedagogy.org', '-2']
['504609', 'kadincafirsatlar.com', '-2']
['504845', 'datenschutzgesetz.de', '-2']
['504904', 'prada-bags.co', '-2']
['504914', 'liqu88.com', '-2']
['504934', 'press-reset.de', '-2']
['505015', 'restaurantequintadaluz.pt', '-2']
['505059', 'advancedoptions.co.zw', '-2']
['505109', 'ynmec.com', '-2']
['505123', 'mmfj.com', '-2']
['505217', 'mont-blancpens.name', '-2']
['505257', 'savevalue2u.com.my', '-2']
['505295', 'gamesnovel.com', '-2']
['505319', 'langxi.org', '-2']
['505367', 'toporn.us', '-2']
['505370', '043101.com', '-2']
['505559', 'erichufschmid.net', '-2']
['505592', 'panepal.org.np', '-2']
['505648', 'poguide.com', '-2']
['505649', 'stylesfeed.com', '-2']
['505688', 'maiqvox.net.br', '-2']
['505712', 'jwtourandtravel.com', '-2']
['505792', 'ikimap.com', '-2']
['505794', 'beausandbelles.co.uk', '-2']
['505824', 'yananzhiyao.com', '-2']
['505948', 'alituitui.net', '-2']
['506010', 'csstypeset.com', '-2']
['506083', 'vivatouchcancun.com', '-2']
['506102', 'phpadsnew.com', '-2']
['506124', 'easydata.com.ng', '-2']
['506155', 'ljcd.gov.cn', '-2']
['506157', 'zymth.com', '-2']
['506269', 'tropiboy.com', '-2']
['506321', 'aqee.net', '-2']
['506338', 'huayiwuxiao.com', '-2']
['506391', 'sapphireexch.com', '-2']
['506479', 'moneycompass.com.my', '-2']
['506559', 'fastnewshub.net', '-2']
['506617', 'goldenhawk.com', '-2']
['506715', 'rodriguez-ces.com', '-2']
['506717', 'prudentgroup.com.ng', '-2']
['506788', 'easybatteryrecondition.com', '-2']
['506868', 'thoitrangasoka.com', '-2']
['506880', 'youxuan68.com', '-2']
['507061', 'telebank.ru', '-2']
['507075', 'atlastp.com', '-2']
['507089', 'thaicybergames.com', '-2']
['507105', 'gargiuloinc.net', '-2']
['507118', 'lagugratis456.com', '-2']
['507174', 'swarovski-jewelry.name', '-2']
['507273', 'ncbai.info', '-2']
['507705', 'bigcial.com', '-2']
['507706', 'qqwaw.com', '-2']
['507729', 'holux.com', '-2']
['507784', 'wntelecom.net.br', '-2']
['507792', 'kodak.com.cn', '-2']
['507823', 'darkgovernment.com', '-2']
['507835', 'testtube.com', '-2']
['507886', 'aipm.com.au', '-2']
['507895', 'domesticappliancesrepairsonsite.co.za', '-2']
['507969', 'profusehost.net', '-2']
['508023', 'qixinmd.com', '-2']
['508060', 'subnet.dk', '-2']
['508074', 'albertadeltahotels.com', '-2']
['508122', 'krapka.pro', '-2']
['508199', 'thanksal.biz', '-2']
['508207', 'idtube.ru', '-2']
['508257', 'brakeformusicshop.com', '-2']
['508270', 'panamusic.com', '-2']
['508295', 'netfacil.psi.br', '-2']
['508342', 'gencialisget.com', '-2']
['508452', 'hemsida.eu', '-2']
['508534', 'miomio.net', '-2']
['508731', 'balder.org', '-2']
['508751', 'thewebfairy.com', '-2']
['508757', 'fcxddq.com', '-2']
['508795', 'prothom-alo.net', '-2']
['508904', 'straightcreditrepair.com', '-2']
['509115', 'aaacarinfo.net', '-2']
['509201', 'santandersantiago.com', '-2']
['509204', 'kuaikuai.cn', '-2']
['509306', 'feixiang925.com', '-2']
['509447', 'beadackpromo.com', '-2']
['509470', 'zuhaohao.com', '-2']
['509484', 'yoz.io', '-2']
['509552', 'zuihuimai.com', '-2']
['509574', 'aabshaar.com', '-2']
['509576', 'albuterol90.com', '-2']
['509671', 'finalpazarlama.com', '-2']
['509709', 'skalyrics.ru', '-2']
['509727', 'freelancer.dz', '-2']
['509786', 'ydyox.com', '-2']
['509798', 'anastasia-erotic.com', '-2']
['509944', 'zeou.vip', '-2']
['510028', 'redcoon.es', '-2']
['510042', 'the-free-directory.co.uk', '-2']
['510092', 'bjjjjhs.com', '-2']
['510103', 'bangaloreescortsonline.com', '-2']
['510140', 'freeenergynews.com', '-2']
['510163', 'rowenappliancerepairs.co.za', '-2']
['510172', 'yi-bu.com', '-2']
['510173', 'bjdfky.com', '-2']
['510260', 'fsali.com.cn', '-2']
['510261', '8gw.com', '-2']
['510293', 'hankintailmoitukset.fi', '-2']
['510377', 'clients-plume.com', '-2']
['510431', 'roofingsupplies.co.ke', '-2']
['510433', 'rentalownerwebinar.com', '-2']
['510448', 'popcitymedia.com', '-2']
['510469', 'linuxdeepin.com', '-2']
['510470', 'neosporin.com', '-2']
['510572', '001doctor.uk', '-2']
['510575', 'bkpproducts.co', '-2']
['510687', 'nextregistrationright.biz', '-2']
['510721', 'solidity.finance', '-2']
['510764', 'pushkaexpal.com', '-2']
['510775', 'shooshbazar1.com', '-2']
['510806', 'lcxyygg.com', '-2']
['510812', 'tcloudbaseapp.com', '-2']
['510816', 'efektivni-meetingy.cz', '-2']
['510818', 'sino98.com', '-2']
['510900', 'politicalblindspot.com', '-2']
['510907', 'deutschschreiben.de', '-2']
['510948', 'raybans.com.co', '-2']
['511229', 'ssrj.net', '-2']
['511253', 'cffeipeng.com', '-2']
['511281', 'ponypet.ru', '-2']
['511459', 'sudhainfotech.in', '-2']
['511468', 'unoriginal.co.uk', '-2']
['511605', '119g.com', '-2']
['511648', 'reiwa-jpn.jp', '-2']
['511656', 'mrexir.ir', '-2']
['511679', 'ciplacademy.edu.np', '-2']
['511705', 'yfsb.net', '-2']
['511723', 'artistguild.ru', '-2']
['511734', 'peerdear.com', '-2']
['511841', 'leanapp.cn', '-2']
['511894', 'yishimei.cn', '-2']
['511980', 'tarctechnologyreview.com', '-2']
['511993', 'vostok-kapital.ru', '-2']
['512064', 'coscoqmc.com.cn', '-2']
['512073', 'k42-hardware.com', '-2']
['512097', 'jsbng.com', '-2']
['512226', 'flowercn.com', '-2']
['512257', 'vantage-energy.net', '-2']
['512279', 'bs-i.co.jp', '-2']
['512314', 'liang3tian.com', '-2']
['512349', 'xemphimso.org', '-2']
['512607', '5qwan.com', '-2']
['512650', 'tjpyg.com', '-2']
['512680', 'gorha.com', '-2']
['512752', 'smallbizrep.com', '-2']
['512844', 'yfrog.us', '-2']
['512955', 'hepsiantalyada.site', '-2']
['512971', 'yalainteriors.co.ke', '-2']
['513035', 'ccnmatthews.com', '-2']
['513073', 'isteaching.com', '-2']
['513129', 'quito.com.ec', '-2']
['513211', 'looksport.sk', '-2']
['513214', 'hoonthaitoday.com', '-2']
['513554', 'drtsyc.com', '-2']
['513601', 'aziz-group.kz', '-2']
['513680', 'consiglisulpeso.it', '-2']
['513711', 'fxdeyy.cn', '-2']
['513800', 'cmdy2020.com', '-2']
['513815', 'novice2star.com', '-2']
['513945', 'shxw.com', '-2']
['514003', 'amirsaeedi.ir', '-2']
['514088', 'gpgunleashed.net', '-2']
['514126', 'programarg.com', '-2']
['514156', 'jfhhg8.com', '-2']
['514230', 'cymbaltacost.com', '-2']
['514284', 'danimaclients.com', '-2']
['514343', 'publicitylink.com', '-2']
['514427', 'joox.net', '-2']
['514555', 'mpogd.com', '-2']
['514563', 'nisatgroup.com', '-2']
['514625', 'mrkalyan.com', '-2']
['514633', 'streetsblog.net', '-2']
['514877', 'xehcnpvqdicvx.com', '-2']
['514953', 'hongaotx.com', '-2']
['514992', 'bjmhcx.com', '-2']
['515069', 'mydml.com', '-2']
['515073', 'bxait.cn', '-2']
['515177', 'flordocacto.com', '-2']
['515212', 'zingring.com', '-2']
['515230', 'rasho.biz', '-2']
['515311', 'rajnishsrivastava.com', '-2']
['515380', 'cadillacproductsinc.com', '-2']
['515383', 'nikehuaraches.org.uk', '-2']
['515516', 'diplyz.net', '-2']
['515582', 'doxepinoverthecounter.space', '-2']
['515603', 'makehimknown.org', '-2']
['515716', 'itgamut.com', '-2']
['515735', 'jginis.net', '-2']
['515752', 'innerpeacemusic.net', '-2']
['515794', 'keepamericarolling.com', '-2']
['515855', 'sdbi.com.cn', '-2']
['515879', 'zfez.net', '-2']
['515909', 'restaurantechuva.com', '-2']
['515945', 'lyrb.com.cn', '-2']
['515988', 'sdarot.today', '-2']
['516002', 'etypestart.com', '-2']
['516068', 'supremesstore.com', '-2']
['516110', 'pattayacitythailand.net', '-2']
['516287', 'sichuanliu.org', '-2']
['516324', 'tvn31.com', '-2']
['516403', 'ggl.cn', '-2']
['516411', 'xnxx.zone', '-2']
['516420', 'viagraonlinehome.com', '-2']
['516428', 'muppon.cn', '-2']
['516439', 'plaatjesupload.nl', '-2']
['516466', 'ronasproduct.ir', '-2']
['516488', 'seos-lb.com', '-2']
['516530', 'dwy51.com', '-2']
['516542', 'cilgpan.com', '-2']
['516563', 'tommy-hilfiger-canada.ca', '-2']
['516615', 'thehexagon.org', '-2']
['516676', 'novosil.com', '-2']
['516710', 'flamegrove.com', '-2']
['516720', 'expertseo.com', '-2']
['516778', '3kr.com', '-2']
['516901', 'cerrajeriasaavedra.es', '-2']
['516923', 'wstimes.cn', '-2']
['516943', 'thetvnamu.top', '-2']
['516971', 'jobcreatorsnetwork.com', '-2']
['516997', 'timeyespr.com', '-2']
['517062', 'sdxrwy.com', '-2']
['517310', 'mrwyz.com', '-2']
['517425', 'sngl.xyz', '-2']
['517457', 'kellycrayne.com', '-2']
['517720', 'ip-198-27-76.net', '-2']
['517913', 'imperiumaco.com', '-2']
['517938', 'alkharid.com', '-2']
['518009', 'yjyjnolllezo.com', '-2']
['518158', 'hollywoodtoday.net', '-2']
['518213', 'poptang.com', '-2']
['518215', 'foodingsushibar.com', '-2']
['518374', 'medellinthefilm.com', '-2']
['518416', 'mygrants.gov.my', '-2']
['518460', 'china-mxx.com', '-2']
['518522', 'pharmaconsultantpakistan.com', '-2']
['518637', 'any-hair.jp', '-2']
['518991', 'alzheimersreadingroom.com', '-2']
['519004', 'glamb.cc', '-2']
['519083', 'qsf114.com', '-2']
['519100', 'masterflix.xyz', '-2']
['519201', 'arge-kiel.de', '-2']
['519241', 'chia-anime.com', '-2']
['519269', 'design215.com', '-2']
['519333', 'myfc.ir', '-2']
['519334', 'desco.org.bd', '-2']
['519381', 'life-hub.com', '-2']
['519441', 'xn----otbfucqe2a6cl.xn--80adxhks', '-2']
['519504', 'allvapejuiceflavors.com', '-2']
['519505', 'walnutgrovesfarm.net', '-2']
['519624', 'zxpeace.com', '-2']
['519703', 'bigkinds.or.kr', '-2']
['519745', 'sczc88.com', '-2']
['519798', 'bancaja.es', '-2']
['519816', 'jamaica-resorts.com', '-2']
['519847', 'yddljt.com', '-2']
['519859', 'baiwanjiazheng.com', '-2']
['519945', 'twango.com', '-2']
['520062', 'indexfundadvisor.com', '-2']
['520295', 'semiocast.com', '-2']
['520333', 'zzfish.cn', '-2']
['520353', 'sincochem.com', '-2']
['520364', 'dapexsolutions.com.ng', '-2']
['520402', 'pspiso.ru', '-2']
['520419', 'cashinobonus.com', '-2']
['520467', 'uqulive.com', '-2']
['520472', 'hunterscash.com', '-2']
['520535', 'lovelystarmarket.com', '-2']
['520567', 'shuailaowang.com', '-2']
['520688', 'legendstudy.com', '-2']
['520725', 'weisacupuncture.com', '-2']
['520799', 'jnshiyanji.com.cn', '-2']
['520808', 'marker88.com', '-2']
['520819', 'hkt66.com', '-2']
['520890', 'njstation.com', '-2']
['520949', 'viagrageneri.com', '-2']
['521066', 'webmddc.com', '-2']
['521130', 'diarioladiscusion.cl', '-2']
['521180', 'insnw.net', '-2']
['521268', 'giaiphaplapghep.com', '-2']
['521273', 'gol.ge', '-2']
['521291', 'smithsonianscience.org', '-2']
['521481', 'yiliaofu.cn', '-2']
['521575', 'proxybig.com', '-2']
['521607', 'treadmill-report.com', '-2']
['521654', 'parsiza.com', '-2']
['521686', 'searchresultsdirect.com', '-2']
['521691', 'zjtongji.edu.cn', '-2']
['521768', 'cpm16.com', '-2']
['521837', 'openbooktoronto.com', '-2']
['521843', 'qfkd.com.cn', '-2']
['521857', 'lepharmachien.com', '-2']
['521870', 'trf1.gov.br', '-2']
['521952', 'dtlkcjk.ru', '-2']
['522011', 'xxnet.com.cn', '-2']
['522041', 'musainterior.pk', '-2']
['522048', 'havilahdelish.com.ng', '-2']
['522081', '86hermesbirkins.com', '-2']
['522189', 'nanhaitoday.com', '-2']
['522223', 'xuanmin.wang', '-2']
['522245', 'stopabductions.com', '-2']
['522282', 'ccughc.net', '-2']
['522295', 'tipsntoesnailspa.com', '-2']
['522329', 'bzzykt.com', '-2']
['522412', '0459123.net', '-2']
['522483', 'nocards.org', '-2']
['522501', 'criticadigital.com', '-2']
['522507', 'forwoman.icu', '-2']
['522523', 'qqll.me', '-2']
['522576', 'uniqueeventfromus.com', '-2']
['522733', 'myxxxbbw.com', '-2']
['522740', 'globalpac.es', '-2']
['522805', 'apxy.io', '-2']
['522857', 'modaandmore.com', '-2']
['522905', '3338808.com', '-2']
['522915', 'aqori.com', '-2']
['522929', 'msfirefox.com', '-2']
['522936', 'tourskidki.ru', '-2']
['522948', 'youtubebyclick.com', '-2']
['522984', 'ncstrl.org', '-2']
['523082', 'bothtrk.com', '-2']
['523161', 'tomsoutlet.com.co', '-2']
['523231', 'jzlgjcm.com', '-2']
['523262', 'rootlnka.net', '-2']
['523285', 'aboutdarwin.com', '-2']
['523327', 'wzlwbxg.com', '-2']
['523342', 'cheapray-bans.com.co', '-2']
['523670', 'cetin.net.cn', '-2']
['523688', 'sanseido.net', '-2']
['523924', 'ferragamoshoes.cc', '-2']
['523938', 'studiogoweb.com', '-2']
['523971', 'desamurnibatik.com', '-2']
['524407', 'forskolinextract.ooo', '-2']
['524435', 'comofficesetup.com', '-2']
['524564', 'centenaryuniversity.edu', '-2']
['524625', 'ebin.cc', '-2']
['524758', 'armatrac.bg', '-2']
['525025', 'smith.agency', '-2']
['525092', 'micahflee.com', '-2']
['525151', 'meizaiseoul.com', '-2']
['525172', 'wonderreplay.com', '-2']
['525282', 'cqzsxd.com', '-2']
['525413', 'mobila.com.ua', '-2']
['525493', 'legeo.pl', '-2']
['525505', 'welkinsolutions.in', '-2']
['525528', 'skymovieshd.life', '-2']
['525533', 'blackhatteam.com', '-2']
['525547', 'iraq-war.ru', '-2']
['525698', 'pa3ot.ru', '-2']
['525730', 'jomhourieslami.com', '-2']
['525744', 'eiscat.se', '-2']
['525754', 'hrbzxyy.com', '-2']
['525766', 'efiliacao.com.br', '-2']
['525781', 'cdqyjs.com', '-2']
['525819', 'epindignado.com', '-2']
['525912', 'badnaughty.com', '-2']
['525941', 'whatsapp.id', '-2']
['525945', 'pertino.net', '-2']
['525951', 'vnsxy.com', '-2']
['526019', 'lijian.net', '-2']
['526085', 'worldhealthdesign.com', '-2']
['526131', 'sharpfellows.com', '-2']
['526195', 'iyjqbarjkiqq.com', '-2']
['526219', 'findmeevidence.org', '-2']
['526292', 'dauthorsperspective.com', '-2']
['526339', 'bdtool.com', '-2']
['526556', 'juicero.com', '-2']
['526584', 'chumenwenwen.com', '-2']
['526683', 'asiareaction.com', '-2']
['526699', 'galenhoskin.com', '-2']
['526711', 'nandflashrecovery.com', '-2']
['526767', 'stratteraatomoxetine.com', '-2']
['526773', 'dcmifeng.com', '-2']
['526908', 'michaelkors-handbags.uk', '-2']
['526911', 'myspace.de', '-2']
['526969', 'fmt.com.tw', '-2']
['527016', 'directoriotulum.com', '-2']
['527025', 'aflc.com.cn', '-2']
['527039', 'cykjsj.com', '-2']
['527040', 'openmetaverse.org', '-2']
['527168', 'mandrake.com', '-2']
['527181', 'krasir.is', '-2']
['527223', 'sabkaweb.net', '-2']
['527277', 'ljekovito.club', '-2']
['527558', 'eyh.cn', '-2']
['527620', 'hacialahuelgafeminista.org', '-2']
['527747', '21bm.com', '-2']
['527763', 'ppda.go.ug', '-2']
['527807', 'antimcafee.com', '-2']
['527877', 'qiaotata.com', '-2']
['527934', 'ngojobs.com', '-2']
['528035', 'instamediapro.com', '-2']
['528125', 'nrbook.com', '-2']
['528166', 'virtualculture.net', '-2']
['528221', 'lh168.net', '-2']
['528338', 'southidc.cn', '-2']
['528344', 'curryguidenet.co.uk', '-2']
['528421', 'fy88.cn', '-2']
['528561', 'gbitcoin.cn', '-2']
['528724', 'katv1.net', '-2']
['528979', 'adelaidefraternity.com', '-2']
['528984', 'spiritualcinemaalliance.com', '-2']
['529006', 'gystyle.com', '-2']
['529126', 'weread.com.tw', '-2']
['529136', 'haltwhistle.org.uk', '-2']
['529183', 'peggo.tv', '-2']
['529228', 'mcool.com', '-2']
['529272', 'cheapbytes.com', '-2']
['529299', '7aa000.com', '-2']
['529515', 'ntsytljc.com', '-2']
['529629', 'kshuifeng.cn', '-2']
['529783', 'tamtma.com', '-2']
['529986', 'unrealtournament3.com', '-2']
['530148', 'commercial-real-estate.cc', '-2']
['530178', 'catakmerkezasm.com', '-2']
['530403', 'izf.net', '-2']
['530421', 'thekickdex.com', '-2']
['530527', 'semi-rad.com', '-2']
['530598', 'mavenserverz.com', '-2']
['530607', 'hnlhcp8.com', '-2']
['530703', 'wemake.com.ua', '-2']
['530746', 'shukh4shukh.com', '-2']
['530771', 'feem.io', '-2']
['530784', 'lookatvintage.com', '-2']
['530813', 'cscexams.in', '-2']
['530920', 'gzxksiliconebra.com', '-2']
['530968', 'qjust.com', '-2']
['531089', 'archiwumallegro.pl', '-2']
['531452', 'krayavid.com', '-2']
['531460', 'tv-shows.co', '-2']
['531490', 'ideal-potolok67.ru', '-2']
['531518', 'desishock.net', '-2']
['531554', '51kweb.com', '-2']
['531594', 'laow010.com', '-2']
['531596', 'ofoghnama72175.ir', '-2']
['531653', 'homevv.com', '-2']
['531681', 'immobilienkredit.club', '-2']
['531719', 'amego-live.de', '-2']
['531758', 'cttsd.com', '-2']
['531959', 'ejmii.com', '-2']
['531977', 'bigbowl.ru', '-2']
['532002', 'ziyoda.uz', '-2']
['532089', 'hnrtu.edu.cn', '-2']
['532128', 'seomast.com', '-2']
['532165', 'igrushka.kz', '-2']
['532199', 'officialwhitesoxproshop.com', '-2']
['532304', 'ha-l-tax.gov.cn', '-2']
['532340', 'percyschmeiser.com', '-2']
['532394', 'wsddz.cn', '-2']
['532403', '5gmaochi.com', '-2']
['532458', 'nhatkimquang.com', '-2']
['532500', 'amanedu.org', '-2']
['532825', 'rollingstonemagazine.it', '-2']
['532868', 'sound-works.net', '-2']
['532871', 'gu.ac.ug', '-2']
['532897', 'ahorrocapital.com', '-2']
['532915', 'hxsd.com.cn', '-2']
['532922', 'kulineranskuy.com', '-2']
['532988', 'dcmf598.com', '-2']
['533021', 'flychinaeastern.com', '-2']
['533069', 'lyge.cn', '-2']
['533123', 'clickaway.com.bd', '-2']
['533266', 'know504hundredskin.live', '-2']
['533311', 'netdo.ru', '-2']
['533447', 'pizzamargarita.com', '-2']
['533549', 'kerre.net', '-2']
['533624', 'lojadotextil.pt', '-2']
['533651', 'nbjmp.com', '-2']
['533736', 'yamahayst.com', '-2']
['533929', 'contentlink.co.kr', '-2']
['533933', 'szsrtyn.com', '-2']
['534084', 'berenjmehrbanoo.ir', '-2']
['534228', 'wordofgodministries.org', '-2']
['534267', 'withpinbox.com', '-2']
['534277', 'lhxlyy.com', '-2']
['534410', 'classyprice.com.bd', '-2']
['534454', 'spravka-region.ru', '-2']
['534455', 'servermail.org', '-2']
['534462', 'wordmagazine.co.uk', '-2']
['534512', 'die.gov.tr', '-2']
['534608', 'tumoto.com.co', '-2']
['534644', 'jilltunbridge.com', '-2']
['534701', 'localife.top', '-2']
['534718', 'ffonavzh.com', '-2']
['534810', 'ehslaws.cn', '-2']
['534847', 'timallenrrr.com', '-2']
['534986', 'ruesqnu.ru', '-2']
['534989', 'longchamp-outlet.co', '-2']
['535013', 'yimianmian.com', '-2']
['535211', 'hxdec.com', '-2']
['535212', 'enping.gov.cn', '-2']
['535233', 'hopewoonzorg.be', '-2']
['535246', 'rickymartin.com', '-2']
['535276', 'usinfo.ru', '-2']
['535281', 'xn--vozdeespaa-19a.es', '-2']
['535340', 'beautynesiablog.id', '-2']
['535394', 'pinn.net', '-2']
['535414', 'instrumentandcontrolhq.com', '-2']
['535437', 'books-top.com', '-2']
['535467', 'scwydx.com.cn', '-2']
['535662', 'dizipub.co', '-2']
['535722', 'top1.vn', '-2']
['535844', 'gogopzh.com', '-2']
['535874', 'picbear.org', '-2']
['535875', 'sen-sdk.com', '-2']
['535902', 'fajnamama.pl', '-2']
['535924', 'xbinop.com', '-2']
['535933', 'yangyoungfoundation.org', '-2']
['536078', 'antarcticconnection.com', '-2']
['536123', 'miyajima-wch.jp', '-2']
['536163', 'betbubbles.com', '-2']
['536247', 'hpw-js.com', '-2']
['536259', 'mcwhopper.com', '-2']
['536289', 'baunerreon.com', '-2']
['536402', 'shareverified.com', '-2']
['536440', 'theeducationinsights.com', '-2']
['536647', 'nhu.edu.cn', '-2']
['536654', 'metformingeneric.com', '-2']
['536682', 'jmsjdb.com.cn', '-2']
['536689', 'jzwk8.com', '-2']
['536797', 'blocknawala.com', '-2']
['536895', 'abcoroti.com', '-2']
['536914', 'thenorthfaceoutlet.com.co', '-2']
['536919', 'doyma.es', '-2']
['537086', 'weather.org.cn', '-2']
['537142', 'got2begreen.com', '-2']
['537240', 'nanjingyuding.cn', '-2']
['537275', 'blogfires.com', '-2']
['537276', '51feibao.com', '-2']
['537303', 'coachoutletonlinestore.org', '-2']
['537341', 'huijiaoyun.com', '-2']
['537367', 'otsix.com', '-2']
['537572', 'youhuitz.com', '-2']
['537574', 'hermesbags.co.uk', '-2']
['537760', '4w1.net', '-2']
['537837', 'preblogs.ga', '-2']
['537857', 'zithromaxcheapestoffers.com', '-2']
['537962', 'nlsearch.com', '-2']
['537967', 'mulberryhandbagsshop.org.uk', '-2']
['538008', 'shodnya-konditsioner.ru', '-2']
['538124', 'dns.navy', '-2']
['538135', 'francochinois.com', '-2']
['538146', 'poojaroy.com', '-2']
['538351', 'gongzuofuf.cn', '-2']
['538380', 'blznd.com', '-2']
['538405', 'babilonia.pt', '-2']
['538439', 'cisoso.com', '-2']
['538503', 'alwazer.com', '-2']
['538586', 'nmp.gov.tw', '-2']
['538649', 'politicalgateway.com', '-2']
['538658', 'baianshengzs.com', '-2']
['538820', 'ortho-lab.ru', '-2']
['538838', 'e-turkishdoctors.com', '-2']
['538927', 'guangzhoujob.com', '-2']
['539000', 'hostedpbx.cn', '-2']
['539070', 'cncard.com', '-2']
['539086', 'elifting.com', '-2']
['539096', 'meiwenting.com', '-2']
['539209', 'kangaroo.kz', '-2']
['539246', 'bestseoreport.com', '-2']
['539279', 'treytons.com', '-2']
['539346', 'michael-korsoutlet.co.uk', '-2']
['539430', 'gpxz.com', '-2']
['539431', 'klaxons.net', '-2']
['539479', 'njrdzm.com', '-2']
['539489', 'nymf.org', '-2']
['539531', '147z.com', '-2']
['539561', 'pensketruckleasing.com', '-2']
['539567', 'new.net', '-2']
['539600', 'newindiaholidays.com', '-2']
['539638', 'osheoufhusheoghuesdl.com', '-2']
['539727', 'digitalcitystores.com', '-2']
['539742', '888729.com', '-2']
['539759', 'f8sildenafil.com', '-2']
['539802', 'vitrinadeidei.ro', '-2']
['539818', 'dzerghinsk.com', '-2']
['539875', 'infoprocenter.com', '-2']
['539879', 'tianxingkj.com', '-2']
['539970', 'resanta64.ru', '-2']
['539982', 'sjhfrj.com', '-2']
['540070', 'foodscost.com', '-2']
['540100', 'pcbbar.com', '-2']
['540102', 'gzoya.com', '-2']
['540136', 'gurlpages.com', '-2']
['540141', 'myapppresser.com', '-2']
['540190', 'xs.zj.cn', '-2']
['540202', 'fmubiad.ru', '-2']
['540290', 'mybrokenleg.com', '-2']
['540316', 'uap.edu.ar', '-2']
['540375', '56k.com', '-2']
['540381', 'orienthome.ru', '-2']
['540405', 'millersv.edu', '-2']
['540689', 'seemore.ru', '-2']
['540714', 'wxlong.com', '-2']
['540769', 'batangkab.go.id', '-2']
['540778', 'radabg.com', '-2']
['540821', '0735hd.cn', '-2']
['540829', 'ssaxbsn.ru', '-2']
['540852', 'pophangover.com', '-2']
['540862', 'xn----7sbabq2aa4afe9bm0dygi.xn--p1ai', '-2']
['540923', 'getsearch.club', '-2']
['541087', 'oilnews.com.ua', '-2']
['541133', 'tjmama.com', '-2']
['541140', 'tdbzcl.com', '-2']
['541155', 'guozhivip.com', '-2']
['541178', 'csjjunin.gob.pe', '-2']
['541179', 'fastcodesolutions.com', '-2']
['541612', 'wendaedu.com.cn', '-2']
['541867', 'arbazzzz.cc', '-2']
['541882', 'iqkiosks.in', '-2']
['541886', 'hotsaucedirect.com', '-2']
['541918', 'forbestraveler.com', '-2']
['541950', 'yxxnyqcc.com', '-2']
['542003', 'dyxsmc.com', '-2']
