['666721', '80665555.com', '-2']
['675724', 'doupe.cz', '-2']
['675772', 'pulldogswap.finance', '-2']
['675809', 'secooimg.com', '-2']
['675869', 'intentmedia.com', '-2']
['675960', 'chouyang120.com', '-2']
['676134', '52fak.cn', '-2']
['676283', 'healthaim.com', '-2']
['676290', 'whyfame.com', '-2']
['676331', 'suqianyou.com', '-2']
['676438', 'godrejgroup.in', '-2']
['676442', 'htmlforums.com', '-2']
['676448', 'kamfo.at', '-2']
['676454', 'cngc-valve.com', '-2']
['676465', 'hanyijiaju.cn', '-2']
['676593', 'dyjyhb.com', '-2']
['676715', 'nmds.gov.cn', '-2']
['676805', 'studytip.eu', '-2']
['676918', 'trustdeeds.me.uk', '-2']
['676922', '6z6z.com', '-2']
['676951', 'advertisinghunt.net', '-2']
['677101', 'seafoxowners.com', '-2']
['677108', '7kanal.com', '-2']
['677233', 'xjaic.gov.cn', '-2']
['677314', 'njnewbll.com', '-2']
['677350', 'ongolekart.com', '-2']
['677357', 'dnsmotors.co.uk', '-2']
['677375', 'bosscorp.co.jp', '-2']
['677439', 'a1714.com', '-2']
['677450', 'tengange.com', '-2']
['677453', 'cnyinju.com', '-2']
['677459', 'wk.com.au', '-2']
['677478', 'bliksem999.com', '-2']
['677499', 'svoekino.online', '-2']
['677616', 'ncdoj.com', '-2']
['677640', 'hrumhrum.com.ua', '-2']
['677662', '50-video.com', '-2']
['677703', 'michaelkors.com.co', '-2']
['677739', 'nmgwangankeji.cn', '-2']
['677888', 'coach-outlets.net', '-2']
['677954', '100go.ru', '-2']
['677970', 'hbdxjl.com', '-2']
['677995', 'afms.co', '-2']
['678145', 'zhaogang.com', '-2']
['678219', 'whyxdn.com', '-2']
['678309', 'flemzz.dk', '-2']
['678389', 'ttcop.com', '-2']
['678500', 'chinaitts.com', '-2']
['678520', 'sainsburysentertainment.co.uk', '-2']
['678568', 'cankaya.gov.tr', '-2']
['678580', 'fh-darmstadt.de', '-2']
['678652', 'beelinetv.com', '-2']
['678696', 'kolso.pl', '-2']
['678725', 'sdzlsh.com', '-2']
['678737', 'soulduster.com', '-2']
['678807', 'freeflux.net', '-2']
['678917', 'innovationtools.com', '-2']
['678938', 'njwjcg.com', '-2']
['678969', 'senfeier.com', '-2']
['679024', 'bemoregranada.com', '-2']
['679055', 'samsunglife.kr', '-2']
['679238', 'onlinex.xyz', '-2']
['679249', 'ledgb.com', '-2']
['679261', 'win365vip9.com', '-2']
['679296', 'fmtvbd.com', '-2']
['679310', 'gozoiwd.ru', '-2']
['679314', 'qichemen.com', '-2']
['679324', 'sdarot.rocks', '-2']
['679345', 'kliknabawi.com', '-2']
['679377', 'b5200.net', '-2']
['679381', 'xhytd.com', '-2']
['679388', 'didmajor717river.live', '-2']
['679478', 'numsum.com', '-2']
['679481', 'lacanadaonline.com', '-2']
['679594', 'atozed.xyz', '-2']
['679746', 'whxyqh.com', '-2']
['679841', 'searchpainting.com', '-2']
['679862', 'jiexieyin.org', '-2']
['679937', 'xiaozujian.com', '-2']
['679952', 'myinsurancecafe.com', '-2']
['680018', 'pisowifi.net', '-2']
['680025', 'boogle.cn', '-2']
['680103', 'robots-dreams.com', '-2']
['680164', 'okbaimak.ru', '-2']
['680207', 'pstypqi.ru', '-2']
['680247', 'shjf.com', '-2']
['680257', '88186.net', '-2']
['680341', 'mythpc.cn', '-2']
['680347', 'zlauncher.com', '-2']
['680390', 'zjjok.com', '-2']
['680393', 'shophex.com', '-2']
['680455', 'gzja.net', '-2']
['680530', 'al-est.com', '-2']
['680670', 'ukprogressive.co.uk', '-2']
['680675', 'simasnet.com', '-2']
['680677', 'my-smileys.de', '-2']
['680737', 'solmarv.com', '-2']
['680739', 'beijing1314.com', '-2']
['680780', 'tukero.org', '-2']
['680840', 'shmodelexpo.com.cn', '-2']
['680883', 'tahtakaleexport.com', '-2']
['680959', 'asiaplus.tj', '-2']
['681037', 'freedownloadsoft.net', '-2']
['681128', '567pls.com', '-2']
['681183', 'wolaizao.com', '-2']
['681234', 'zgfbzcw.com', '-2']
['681238', 'tokigawa.lg.jp', '-2']
['681298', 'petalia.org', '-2']
['681393', 'ccmining.org', '-2']
['681611', 'fodizi.net', '-2']
['681692', 'carolinapanthersjerseys.us', '-2']
['681865', 'jurnalindonesia.org', '-2']
['681931', 'bechkha.com', '-2']
['681933', '021web.cn', '-2']
['682064', 'china-ykyb.com', '-2']
['682082', 'alwathbeh.com', '-2']
['682209', 'ali-shekh.net', '-2']
['682229', 'hdheart.com', '-2']
['682307', 'uumtu.com', '-2']
['682354', 'eastcoastpwc.net', '-2']
['682361', 'csrockers.in', '-2']
['682374', 'antalyaaksuasm.com', '-2']
['682381', 'horise.com', '-2']
['682546', 'coach-handbags.com.co', '-2']
['682582', 'photon-wiki.com', '-2']
['682592', 'bioolejek.pl', '-2']
['682617', 'cremeetrucchi.shop', '-2']
['682646', 'mealmakeovermoms.com', '-2']
['682661', 'gdbaozhuang.com', '-2']
['682682', 'whsgcjx.com', '-2']
['682867', 'soci.vip', '-2']
['682925', 'mauweb.shop', '-2']
['683038', 'ib.edu.ar', '-2']
['683043', 'noogenesis.com', '-2']
['683069', 'gearedwrench.com', '-2']
['683198', 'zongshijiazu.com', '-2']
['683282', 'igotomorocco.com', '-2']
['683368', 'nedstat.com', '-2']
['683404', 'leyinba.com', '-2']
['683492', 'okhour.com', '-2']
['683599', 'pouchabobd.com', '-2']
['683604', 'dyx0878.cn', '-2']
['683609', 'thedailyriff.com', '-2']
['683623', 'eticaret.in', '-2']
['683635', '7yp36f.com', '-2']
['683642', 'zyrji.com', '-2']
['683695', '777slot.io', '-2']
['683766', 'smplicare.co.uk', '-2']
['683786', 'umjordanshoes.com', '-2']
['683789', 'hhskx.com', '-2']
['683856', 'simage.com', '-2']
['683927', 'seotip.sk', '-2']
['683953', 'oxqxopomikpqk.com', '-2']
['684029', 'tuga.tv', '-2']
['684036', 'johnrobertsdirect.net', '-2']
['684112', 'scpc.gov.cn', '-2']
['684118', 'hxmytc.com', '-2']
['684130', 'ecoshopbd.net', '-2']
['684138', 'hotteenpics.com', '-2']
['684195', 'boat-assured.com', '-2']
['684230', 'actingjc.com', '-2']
['684300', 'tranzlogistic.com', '-2']
['684340', 'lyljbj.com', '-2']
['684397', 'vandanangupta.in', '-2']
['684405', 'alabanza.com', '-2']
['684414', 'theilmquran.com', '-2']
['684419', 'canalytica.com', '-2']
['684458', 'junaio.com', '-2']
['684668', 'cord-blood-info.net', '-2']
['684828', 'ch.tf', '-2']
['684899', 'websiteforeternity.com', '-2']
['684913', 'myfirstkitten.net', '-2']
['684919', 'chouffemarathon.com', '-2']
['684929', 'di1zp.com', '-2']
['684969', 'andersonfriesen.com', '-2']
['684985', 'bbbscommunity.org', '-2']
['684996', 'fjsx.gov.cn', '-2']
['685004', 'vastman.com', '-2']
['685069', 'jimdenevan.com', '-2']
['685090', 'yokong.com', '-2']
['685109', 'scwmw.cn', '-2']
['685138', 'rally-america.com', '-2']
['685141', 'carbonpayment.com', '-2']
['685161', 'wellgestra.net', '-2']
['685264', 'wxxfbx.com', '-2']
['685270', 'brica.biz', '-2']
['685280', 'diasporatravel.co.uk', '-2']
['685348', 'freedooom.tk', '-2']
['685351', 'ag-risk.org', '-2']
['685367', 'sphong.com', '-2']
['685369', 'matthewwolf.com', '-2']
['685393', 'nrtqgnk.ru', '-2']
['685473', 'wpsdtv.biz', '-2']
['685475', 'planetreuse.org', '-2']
['685521', 'personalitytest.org', '-2']
['685609', 'dification.com', '-2']
['685625', 'hik-proconnect.com', '-2']
['685656', 'androidcloud.net', '-2']
['685659', 'srig.com.cn', '-2']
['685663', 'dlako.com', '-2']
['685796', 'panpass.com', '-2']
['685827', 'greennews.us', '-2']
['685880', 'brucemclaughlin.com', '-2']
['685968', 'hdlforum.org', '-2']
['685987', 'glatius.cc', '-2']
['686000', 'tlpta.com', '-2']
['686021', 'jfskr.com', '-2']
['686027', 'terraingauna.com', '-2']
['686045', 'halcyon-corp.com', '-2']
['686070', '800prudential.biz', '-2']
['686142', 'yangmujiang.cn', '-2']
['686143', 'princevaliant.biz', '-2']
['686193', 'frisbee.agency', '-2']
['686218', 'askersitesi.net', '-2']
['686241', 'blockr.io', '-2']
['686334', 'spectroview.net', '-2']
['686389', 'picbed.cn', '-2']
['686404', 'javatronix.com', '-2']
['686431', 'jc258.cn', '-2']
['686470', 'bolg.pl', '-2']
['686557', 'xmajs.cn', '-2']
['686578', 'corpcofe.biz', '-2']
['686603', 'yzjgw.com', '-2']
['686632', 'nanrenzhuang.net', '-2']
['686645', 'bostonhardcider.com', '-2']
['686661', 'bedbugcentral.com', '-2']
['686705', 'gojl.com.cn', '-2']
['686717', 'daraiusdubash.com', '-2']
['686718', 'yablit.com', '-2']
['686725', 'sadiemadison.net', '-2']
['686787', 'homeschooljournal.net', '-2']
['686864', 'isobm2006.org', '-2']
['686918', 'stressplan.com', '-2']
['686929', 'resproxy.com', '-2']
['687154', 'foleyvending.com', '-2']
['687262', 'elliotrosenblatt.com', '-2']
['687272', 'tablootablighat.ir', '-2']
['687303', 'mybruckheimer.com', '-2']
['687319', 'tara.com.ph', '-2']
['687332', 'mre.gov.ve', '-2']
['687386', 'camsoft.com', '-2']
['687388', 'lawschoolloans.org', '-2']
['687431', 'lupusresearch.center', '-2']
['687504', 'vanessa-hudgensonline.com', '-2']
['687538', 'diamondsbytheinch.com', '-2']
['687541', 'patientfyi.com', '-2']
['687560', 'lakekeoweeblog.net', '-2']
['687615', 'ilaclama.com.tr', '-2']
['687634', 'ziftbit.com', '-2']
['687636', 'arjfoods.com', '-2']
['687672', 'sunmountainlodge.com', '-2']
['687685', 'szpengfa.net', '-2']
['687744', 'fanniemae.biz', '-2']
['687755', 'usc.net', '-2']
['687768', 'spunland.co', '-2']
['687777', 'securitynewsdaily.com', '-2']
['687804', 'sudafed.com', '-2']
['687827', 'faja.ru', '-2']
['687886', 'hbnfjc.com', '-2']
['687953', 'shurooqalmarmoomworkshop.com', '-2']
['687979', 'witessilver-clous.icu', '-2']
['687997', 'jtclearyinc.com', '-2']
['688089', 'atabakshop.ir', '-2']
['688122', 'growthack.es', '-2']
['688187', 'whycats.com', '-2']
['688213', 'gravidezativa.pt', '-2']
['688245', 'interfaithcalendar.org', '-2']
['688364', 'hydraonion2019.net', '-2']
['688368', 'annmorris.info', '-2']
['688437', 'usmunibonds.com', '-2']
['688567', 'osfa.com.ar', '-2']
['688597', 'spanningsync.com', '-2']
['688617', 'chinapsp.net', '-2']
['688643', 'gxeduzk.com', '-2']
['688732', 'rc.com.cn', '-2']
['688761', 'office-en-setup.com', '-2']
['688810', 'bridgwater.info', '-2']
['689105', '80yy.cn', '-2']
['689248', 'mdeditor.com', '-2']
['689263', 'websitebaker2.org', '-2']
['689328', 'taakbook.ir', '-2']
['689364', 'jxpinyuan.com', '-2']
['689452', 'viagraooiq.com', '-2']
['689482', 'lead8888.com', '-2']
['689552', 'azbez.com', '-2']
['689877', 'numixproject.org', '-2']
['690154', 'lydzdx.cn', '-2']
['690174', 'zgqxb.com.cn', '-2']
['690302', 'metroland.ru', '-2']
['690327', 'qingtaoke.com', '-2']
['690403', 'xdetv.com', '-2']
['690436', 'gxmu.net.cn', '-2']
['690452', 'batampoint.com', '-2']
['690551', 'bogedianzi.com', '-2']
['690563', 'digiweb.jp', '-2']
['690576', 'totalwellnesss4life.com', '-2']
['690597', 'stockphotosforfree.com', '-2']
['690600', 'epun.cn', '-2']
['690706', 'bebto.com', '-2']
['690725', 'ingenieriasocial.com.ar', '-2']
['690835', 'mhemadi.com', '-2']
['690874', 'zyvalves.com', '-2']
['690877', 'bjszjcxw.com.cn', '-2']
['690928', 'google.com.im', '-2']
['690937', 'gfjahuo.com', '-2']
['690953', 'ifal.edu.br', '-2']
['690960', 'singdown.com', '-2']
['691043', 'binba.pk', '-2']
['691073', 'doordropoff.com', '-2']
['691124', 'autoprotectionoptions.com', '-2']
['691223', 'thegamingliberty.com', '-2']
['691343', 'goldencorralrest.com', '-2']
['691451', '593fl.com', '-2']
['691499', 'onexr03251.top', '-2']
['691536', 'adidasoutletfactory.com.co', '-2']
['691668', 'yswfobd.ru', '-2']
['691687', 'avermedia.cn', '-2']
['691740', 'gomolo.com', '-2']
['691746', 'jessewillms.com', '-2']
['691853', 'ywzcfz.com', '-2']
['691939', 'jertag.org', '-2']
['691959', 'rs158.com', '-2']
['691960', 'panama-guide.com', '-2']
['691973', 'opknice.com', '-2']
['691976', 'easterndefence.com', '-2']
['692041', 'worldwidelexicon.org', '-2']
['692101', 't7z.cc', '-2']
['692163', 'smartoutbound.or.kr', '-2']
['692182', 'islamicart.com', '-2']
['692198', 'megaporn.com', '-2']
['692211', 'tdoyen.com', '-2']
['692288', 'proliveavgears.com', '-2']
['692480', 'beyondkhidki.com', '-2']
['692500', 'buyviagraprx.com', '-2']
['692501', 'marketplacecostaricapp.com', '-2']
['692525', 'brickleberry.org', '-2']
['692576', 'masterville.org', '-2']
['692740', 'ctfmall.com', '-2']
['692752', 'bksdasumsel.org', '-2']
['692784', 'taolesi.com.cn', '-2']
['692819', 'kingautogroup.com.ua', '-2']
['692944', 'ntjth.com', '-2']
['693009', 'geekpedia.com', '-2']
['693043', 'andesmexico.com', '-2']
['693117', 'gongyishi.gov.cn', '-2']
['693151', 'bizofbaseball.com', '-2']
['693192', 'bridgetelecom.com', '-2']
['693249', '51fun.xyz', '-2']
['693392', 'alnasrusedcars.ae', '-2']
['693406', 'rcunion.com', '-2']
['693441', 'youwinwinnergiftgood.cyou', '-2']
['693442', '51vapp.com', '-2']
['693551', 'xn--f1apaaqe.xn--p1ai', '-2']
['693589', 'abhishekguide.com', '-2']
['693663', 'crashfilm.com', '-2']
['693728', 'shczyy.com', '-2']
['693766', 'rosarisemnc.com', '-2']
['693813', 'foger.cc', '-2']
['693919', 'huagao8.com', '-2']
['693936', 'skoda-challenge.com', '-2']
['693962', 'moorewatch.com', '-2']
['693995', 'foodandmore.lv', '-2']
['694022', 'hornetsprostore.com', '-2']
['694075', 'al-wlid.com', '-2']
['694206', 'trainerpro.online', '-2']
['694246', 'englishdefenceleague.org', '-2']
['694348', 'raetselhaftes.com', '-2']
['694349', 'businesslistingsite.com', '-2']
['694354', 'praxis-an-der-schlei.de', '-2']
['694462', 'ghs.net.tr', '-2']
['694467', 'watchtwoer23.com', '-2']
['694502', 'cyberjapan.jp', '-2']
['694532', 'jjxxk.com', '-2']
['694540', 'wahmplex.com', '-2']
['694567', 'guidespot.com', '-2']
['694600', 'jnjyw.edu.cn', '-2']
['694624', 'mofa.gov.mm', '-2']
['694816', 'beatmuseum.org', '-2']
['694937', 'centuryfurniture.be', '-2']
['694967', 'castnylon.cn', '-2']
['694982', 'techminewebsdev.cyou', '-2']
['695189', 'alhilalalzahabigarage.com', '-2']
['695338', 'artbetting.co.uk', '-2']
['695365', 'lenovoemc.com', '-2']
['695447', 'netguestbook.com', '-2']
['695590', 'fundacionhealy.com', '-2']
['695605', 'trachelectomy.co.uk', '-2']
['695624', 'burberryaustralia.net.au', '-2']
['695666', 'image-bugs.com', '-2']
['695690', 'ing-tgl.com', '-2']
['695702', 'bangboer.com', '-2']
['695736', 'probookmarks.xyz', '-2']
['695744', 'smarter.co.jp', '-2']
['695810', 'uggoutletsale.com.co', '-2']
['695830', 'roopjiartistry.com', '-2']
['695847', '91plaza.com', '-2']
['695962', 'huierming.com', '-2']
['696003', 'juyebbs.com', '-2']
['696047', 'altin-soap.ru', '-2']
['696112', 'safezone2020.co.za', '-2']
['696397', 'skillopedia.ru', '-2']
['696422', 'breakside.id', '-2']
['696434', 'sigee.com.br', '-2']
['696543', 'jijinbbs.com', '-2']
['696549', 'mydns.pro', '-2']
['696766', 'buderus.hk', '-2']
['696800', 'iforetold.com', '-2']
['697024', 'megaserial.net', '-2']
['697031', 'paiyushi.com', '-2']
['697051', 'xn--konuabilirim-7mc.com', '-2']
['697178', 'zhqiantang.com', '-2']
['697241', 'abbeygonzales.com', '-2']
['697287', '67vn.com', '-2']
['697293', 'racetuned.co.uk', '-2']
['697295', 'zfcg.gov.cn', '-2']
['697417', 'aasaan.com.pk', '-2']
['697419', 'youtubeaccelerator.com', '-2']
['697449', 'thsbl.com', '-2']
['697465', 'cdlhls.com', '-2']
['697546', 'qiche.com', '-2']
['697578', 'mysocialpinpoint.com', '-2']
['697600', 'somewebsite.com', '-2']
['697615', 'zetex.com', '-2']
['697699', 'ijinallah.com', '-2']
['697704', 'cakecareers.info', '-2']
['697738', 'sportsonespn.com', '-2']
['697771', 'avionad.com', '-2']
['697790', 'szaimer.com', '-2']
['697957', 'planetasofta.org', '-2']
['697993', 'rimwiki.ru', '-2']
['698034', 'junsenwjc.com', '-2']
['698079', 'allartedu.com', '-2']
['698080', '861067.com', '-2']
['698144', 'szxuanxi.com', '-2']
['698162', 'divinelighthouse.ro', '-2']
['698167', 'cgnetworks.com', '-2']
['698248', 'hlmxh.com', '-2']
['698283', 'magvos.co.za', '-2']
['698309', 'mrbrown.com.tw', '-2']
['698322', 'myimager.com', '-2']
['698506', 'mindlabgroup.com', '-2']
['698555', 'imbd.com', '-2']
['698575', 'viagrapipls.com', '-2']
['698701', 'dmke-sh.com', '-2']
['698709', 'fisherfishing.com', '-2']
['698809', 'calmbehindthewheel.co.uk', '-2']
['698912', 'nextsnack.com', '-2']
['698949', 'kzbd.cn', '-2']
['698951', 'gidra2020tor.shop', '-2']
['698953', 'doctormeeple.es', '-2']
['698955', 'koskmafikuny.id', '-2']
['698985', 'dailysodep.com', '-2']
['699001', 'hfgyjd.cn', '-2']
['699036', 'hebdjs.com', '-2']
['699139', 'wxxdhj.cn', '-2']
['699171', 'sprig.com', '-2']
['699211', 'kcreation.online', '-2']
['699364', 'fireflyau.com', '-2']
['699488', 'fnxszz.com', '-2']
['699499', 'fenghuijinshu.com', '-2']
['699548', 'cssnext.io', '-2']
['699908', 'orchidgeeks.com', '-2']
['699911', 'ysb578.com', '-2']
['700074', 'icsnc.info', '-2']
['700075', 'dmsynergyhub.com', '-2']
['700294', 'mymeirong.net', '-2']
['700401', 'matematikasik.com', '-2']
['700436', 'setupablogtoday.com', '-2']
['700517', 'whmycl.com', '-2']
['700519', 'aoqiangsuoye.cn', '-2']
['700524', 'huaxirc.com', '-2']
['700638', 'bakeinu.jp', '-2']
['700660', 'flickrvision.com', '-2']
['700780', '360wscdn.com', '-2']
['700837', 'namesecurehosting.com', '-2']
['700854', 'rongphai.com', '-2']
['700874', 'mhv.net', '-2']
['700927', 'techcorps.in', '-2']
['700972', 'csdp.edu.cn', '-2']
['701063', 'yiling.cn', '-2']
['701077', 'innocathy.co.za', '-2']
['701129', 'rowetechinc.co', '-2']
['701208', 'chofaride.com', '-2']
['701234', 'landarchs.com', '-2']
['701305', '90tv.ir', '-2']
['701318', 'universsityofdublin.com', '-2']
['701345', 'daovoice.io', '-2']
['701359', 'piprebate.com', '-2']
['701368', 'ktsdad.com', '-2']
['701410', 'kirkagac1noluasm.com', '-2']
['701431', 'docstyles.com', '-2']
['701460', 'ccgp-guangxi.gov.cn', '-2']
['701469', 'businessreviewaustralia.com', '-2']
['701478', 'mcmhandbags.org', '-2']
['701563', 'mzbcdn.net', '-2']
['701842', 'sakerhetsprodukter.se', '-2']
['701860', 'aspxz.cn', '-2']
['702009', 'hrbtc.com', '-2']
['702026', 'yiyanzheng.cn', '-2']
['702139', 'sxmhba.cn', '-2']
['702158', 'croota.ru', '-2']
['702167', 'sainokuni-kanko.jp', '-2']
['702205', 'beautyallyouknow.com', '-2']
['702268', 'kittipatgeneralwork.co.th', '-2']
['702321', 'dugas.ru', '-2']
['702335', 'legio.com.mx', '-2']
['702416', 'ikepa.at', '-2']
['702511', '123450.cf', '-2']
['702533', 'gamakomandiri.com', '-2']
['702578', 'yourfacebookprofile.org', '-2']
['702665', 'resultsolution.co', '-2']
['702704', 'tvonline.id', '-2']
['702712', 'jpnz.jp', '-2']
['702754', 'muslimsingle.org', '-2']
['702833', 'achanz.com', '-2']
['702860', 'flasherclub.com', '-2']
['702900', 'saclongchamp--pascher.fr', '-2']
['702904', 'mediachain.io', '-2']
['702933', 'dsw969.com', '-2']
['702952', 'hnews.ir', '-2']
['702954', 'personenleitsystem24.de', '-2']
['702958', 'syqy365.com', '-2']
['703084', 'suntechzim.co.zw', '-2']
['703144', 'petetownshend.co.uk', '-2']
['703155', 'hessabeauty.com', '-2']
['703232', 'maximum.com.tr', '-2']
['703239', 'freeinstallssoftwaremine.club', '-2']
['703245', 'ccmmarket.com', '-2']
['703400', 'minerguns.com', '-2']
['703470', 'socialstatistics.com', '-2']
['703474', 'free-braindumps.net', '-2']
['703501', 'gilool.in', '-2']
['703576', 'afssport.com', '-2']
['703660', 'nikecortezs.us', '-2']
['703664', 'cybertown.com', '-2']
['703725', 'hollywood-celebrity-pictures.com', '-2']
['703752', 'remaxtodayrichmond.com', '-2']
['703757', 'gxnongmu.com', '-2']
['703799', 'umcafee.com', '-2']
['703800', 'serial720.online', '-2']
['703803', 'linuxbras.com.br', '-2']
['703862', 'taotud.com', '-2']
['703892', 'siluwu.com', '-2']
['703897', 'kinosezon.tv', '-2']
['703977', 'sukajuz.com', '-2']
['704022', 'car-quote.com', '-2']
['704032', 'physxinfo.com', '-2']
['704074', 'help-eu.com', '-2']
['704276', 'softtectechnology.online', '-2']
['704307', 'bank-mfo.com', '-2']
['704315', 'beiwaicd.com', '-2']
['704454', 'dgtianxing.com', '-2']
['704543', '4vs96.com', '-2']
['704778', 'gardrealms.com', '-2']
['704807', 'wandajackson.com', '-2']
['704827', 'fhc-hypnosis.co.uk', '-2']
['704857', 'lynxfilm.com', '-2']
['704869', 'fhyl13.co', '-2']
['704903', 'psalmsrealestate.com', '-2']
['704917', '123legou.com', '-2']
['704982', 'igualdadpolitica.cl', '-2']
['705028', 'fquick.com', '-2']
['705109', 'oxfordwritingschool.com', '-2']
['705172', '4694e.com', '-2']
['705179', 'gzukdz.cn', '-2']
['705194', 'puntoliga.com', '-2']
['705365', 'pauahtun.org', '-2']
['705383', 'tenfu.com', '-2']
['705429', 'yourfungame.com', '-2']
['705516', 'avcool.com', '-2']
['705632', 'cncard.net', '-2']
['705660', 'ctmon.com', '-2']
['705667', 'jnmoban.com', '-2']
['705685', 'betnesol.com', '-2']
['705699', 'fajas.ru', '-2']
['705749', 'yganadinero.com', '-2']
['705805', 'miemiedy.com', '-2']
['705810', 'dmryyazilim.com', '-2']
['705844', 'henghui-air.com', '-2']
['705851', 'canadianmortgagesinc.ca', '-2']
['705864', 'blogroots.com', '-2']
['705990', 'openloadmovies.ws', '-2']
['706001', 'cialisgenwrx.com', '-2']
['706058', 'linksyu.net', '-2']
['706064', 'surcouf.com', '-2']
['706091', 'unimoron.edu.ar', '-2']
['706246', 'mensvogue.com', '-2']
['706295', 'dudujp.com', '-2']
['706313', '2016cc.top', '-2']
['706342', 'cvvshop.ws', '-2']
['706347', '10e.org', '-2']
['706349', 'cannabaas.co.za', '-2']
